Dates,Tickers,Tenor,Data
20230127,EUSA7 BGN Curncy,7Y,2.8319
20230127,EUSA8 BGN Curncy,8Y,2.8245
20230127,EUSA9 BGN Curncy,9Y,2.8242
20230130,EUR006M Index,6M,2.959
20230130,EUSA1 BGN Curncy,1Y,3.3559
20230130,EUSA10 BGN Curncy,10Y,2.9
20230130,EUSA11 BGN Curncy,11Y,2.904
20230130,EUSA12 BGN Curncy,12Y,2.904
20230130,EUSA15 BGN Curncy,15Y,2.876
20230130,EUSA1D BGN Curncy,1D,NaN
20230130,EUSA1F BGN Curncy,18M,3.3619
20230130,EUSA2 BGN Curncy,2Y,3.306
20230130,EUSA20 BGN Curncy,20Y,2.706
20230130,EUSA25 BGN Curncy,25Y,2.52
20230130,EUSA3 BGN Curncy,3Y,3.143
20230130,EUSA30 BGN Curncy,30Y,2.358
20230130,EUSA35 BGN Curncy,35Y,2.224
20230130,EUSA4 BGN Curncy,4Y,3.0322
20230130,EUSA40 BGN Curncy,40Y,2.101
20230130,EUSA45 BGN Curncy,45Y,1.994
20230130,EUSA5 BGN Curncy,5Y,2.9703
20230130,EUSA50 BGN Curncy,50Y,1.902
20230130,EUSA6 BGN Curncy,6Y,2.9307
20230130,EUSA7 BGN Curncy,7Y,2.907
20230130,EUSA8 BGN Curncy,8Y,2.897
20230130,EUSA9 BGN Curncy,9Y,2.8958
20230131,EUR006M Index,6M,2.988
20230131,EUSA1 BGN Curncy,1Y,3.3664
20230131,EUSA10 BGN Curncy,10Y,2.875
20230131,EUSA11 BGN Curncy,11Y,2.8791
20230131,EUSA12 BGN Curncy,12Y,2.88
20230131,EUSA15 BGN Curncy,15Y,2.854
20230131,EUSA1D BGN Curncy,1D,NaN
20230131,EUSA1F BGN Curncy,18M,3.3581
20230131,EUSA2 BGN Curncy,2Y,3.292
20230131,EUSA20 BGN Curncy,20Y,2.7032
20230131,EUSA25 BGN Curncy,25Y,2.51
20230131,EUSA3 BGN Curncy,3Y,3.116
20230131,EUSA30 BGN Curncy,30Y,2.351
20230131,EUSA35 BGN Curncy,35Y,2.2175
20230131,EUSA4 BGN Curncy,4Y,3.002
20230131,EUSA40 BGN Curncy,40Y,2.107
20230131,EUSA45 BGN Curncy,45Y,2.004
20230131,EUSA5 BGN Curncy,5Y,2.938
20230131,EUSA50 BGN Curncy,50Y,1.9095
20230131,EUSA6 BGN Curncy,6Y,2.8995
20230131,EUSA7 BGN Curncy,7Y,2.8785
20230131,EUSA8 BGN Curncy,8Y,2.8675
20230131,EUSA9 BGN Curncy,9Y,2.8698
20230201,EUR006M Index,6M,3.009
20230201,EUSA1 BGN Curncy,1Y,3.39
20230201,EUSA10 BGN Curncy,10Y,2.8507
20230201,EUSA11 BGN Curncy,11Y,2.8545
20230201,EUSA12 BGN Curncy,12Y,2.8555
20230201,EUSA15 BGN Curncy,15Y,2.8285
20230201,EUSA1D BGN Curncy,1D,NaN
20230201,EUSA1F BGN Curncy,18M,3.381
20230201,EUSA2 BGN Curncy,2Y,3.3025
20230201,EUSA20 BGN Curncy,20Y,2.6733
20230201,EUSA25 BGN Curncy,25Y,2.482
20230201,EUSA3 BGN Curncy,3Y,3.1155
20230201,EUSA30 BGN Curncy,30Y,2.322
20230201,EUSA35 BGN Curncy,35Y,2.192
20230201,EUSA4 BGN Curncy,4Y,2.998
20230201,EUSA40 BGN Curncy,40Y,2.076
20230201,EUSA45 BGN Curncy,45Y,1.972
20230201,EUSA5 BGN Curncy,5Y,2.93
20230201,EUSA50 BGN Curncy,50Y,1.881
20230201,EUSA6 BGN Curncy,6Y,2.8888
20230201,EUSA7 BGN Curncy,7Y,2.862
20230201,EUSA8 BGN Curncy,8Y,2.8512
20230201,EUSA9 BGN Curncy,9Y,2.8495
20230202,EUR006M Index,6M,3.029
20230202,EUSA1 BGN Curncy,1Y,3.3008
20230202,EUSA10 BGN Curncy,10Y,2.6532
20230202,EUSA11 BGN Curncy,11Y,2.667
