Dates,Tickers,Tenor,Data
20250410,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02415
20250310,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02665
20250411,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02416
20250311,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02663
20250312,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02663
20250512,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02169
20250313,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02412
20250513,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.0217
20250414,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02416
20250314,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02413
20250514,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02172
20250415,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02417
20250515,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02172
20250416,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02416
20250516,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02172
20250417,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02418
20250317,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02417
20250418,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02418
20250318,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02417
20250319,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02417
20250519,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.0217
20250320,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02416
20250520,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02171
20250421,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02418
20250321,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02417
20250521,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02172
20250422,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02417
20250522,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02169
20250423,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02417
20250523,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02173
20250424,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02167
20250224,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02666
20250324,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02417
20250425,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02169
20250225,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02666
20250325,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02418
20250226,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02666
20250326,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02418
20250526,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.0217
20250227,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02665
20250327,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02417
20250527,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02168
20250428,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02167
20250228,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02666
20250328,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02417
20250528,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02172
20250429,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02167
20250529,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02167
20250430,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02167
20250530,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02161
20250331,IR.EUR-ESTR-ON.CASH-1D.MID,1D,0.02417
20250401,IR.EUR-ESTR-ON.SWAP-1M.MID,1M,0.0234608
20250501,IR.EUR-ESTR-ON.SWAP-1M.MID,1M,0.021665
20250402,IR.EUR-ESTR-ON.SWAP-1M.MID,1M,0.023458
20250602,IR.EUR-ESTR-ON.SWAP-1M.MID,1M,0.01982
20250502,IR.EUR-ESTR-ON.SWAP-1M.MID,1M,0.02167
20250403,IR.EUR-ESTR-ON.SWAP-1M.MID,1M,0.023363
20250303,IR.EUR-ESTR-ON.SWAP-1M.MID,1M,0.024741
20250404,IR.EUR-ESTR-ON.SWAP-1M.MID,1M,0.0230394
20250304,IR.EUR-ESTR-ON.SWAP-1M.MID,1M,0.024654
20250305,IR.EUR-ESTR-ON.SWAP-1M.MID,1M,0.0246175
